year_index,buddhist_year,project_tree_carbon_stock_tco2e,exact_cumulative_increment_tco2e,reported_reduction_tco2e,source_id
0,2567,362962.8144,0,0,STC-VSD-G2-CALC-XLSX
1,2568,426652.7964,63689.982,63689,STC-VSD-G2-CALC-XLSX
2,2569,490342.7784,127379.964,127379,STC-VSD-G2-CALC-XLSX
3,2570,554032.7604,191069.946,191069,STC-VSD-G2-CALC-XLSX
4,2571,617722.7424,254759.928,254759,STC-VSD-G2-CALC-XLSX
5,2572,681412.7244,318449.91,318449,STC-VSD-G2-CALC-XLSX
6,2573,745102.7064,382139.892,382139,STC-VSD-G2-CALC-XLSX
7,2574,808792.6884,445829.874,445829,STC-VSD-G2-CALC-XLSX
8,2575,872482.6704,509519.856,509519,STC-VSD-G2-CALC-XLSX
9,2576,936172.6524,573209.838,573209,STC-VSD-G2-CALC-XLSX
10,2577,999862.6344,636899.82,636899,STC-VSD-G2-CALC-XLSX
